time,price,signal,profit,total
2025-11-20 23:52:00,325.5,HOLD,0.0,0.0
2025-11-20 23:59:00,325.7,BUY,0.0,0.0
2025-11-21 00:02:00,323.5,SELL,-2.19,-2.19
2025-11-21 00:24:00,322.6,BUY,0.0,-2.19
2025-11-21 00:34:00,319.6,SELL,-3.0,-5.19
2025-11-21 02:00:00,308.1,BUY,0.0,-5.19
2025-11-21 02:17:00,305.4,SELL,-2.7,-7.9
2025-11-21 02:22:00,309.1,BUY,0.0,-7.9
2025-11-21 02:32:00,305.3,SELL,-3.8,-11.7
2025-11-21 02:43:00,306.6,BUY,0.0,-11.7
2025-11-21 02:54:00,306.8,SELL,0.19,-11.5
2025-11-21 02:58:00,307.8,BUY,0.0,-11.5
2025-11-21 03:26:00,306.7,SELL,-1.1000000000000227,-12.600000000000023
